abeierbianhuan 阿贝尔变换
danshoulian 淡收敛
danshouliankongjian 单收敛空间
danshoulianlvzi 单收敛滤子
danshouliantuopu 单收敛拓扑
dantaifuwuxitong 单台服务系统
dantaishe 单态射
dantongtai 单同态
dantu 单图
dantuopu 淡拓扑
danwei 单位
danweibiaoshi 单位表示
danweibingxiangliang 单位并向量
danweidanxing 单位单形
danweidian 单位点
danweifenjie 单位分解
danweifushu 单位复数
danweigen 单位根
danweihanshu 单位函数
danweihanzi 单位函子
danweijieyuehanshu 单位阶跃函数
danweijieyueshuru 单位阶跃输入
danweijuzhen 单位矩阵
danweilixiang 单位理想
danweiliantongqu 单位连通区
danweilvzi 单位滤子
danweiqiexiangliang 单位切向量
danweiqiu 单位球
danweiqujian 单位区间
danweiqun 单位群
danweishu 单位数
danweisuanzi 单位算子
danweitaishe 单位态射
danweitezhen 单位特贞
danweixitong 单位系统
danweixiasanjiaozhen 单位下三角阵
danweixian 单位线
danweixiangliang 单位向量
danweiyidaier 单位伊代尔
danweiyinzi 单位因子
danweiyuan 单位元
danweiyuan 单位圆
danweiyuanban 单位园板
danweiyuanqun 单位元群
danweiyuansu 单位元素
danweizhangliang 单位张量
danxiangbianhuan 单项变换
danxiangbiaoshi 单项表示
danxiangfangchafenxi 单向方差分析
danxiangfangcheng 单项方程
danxiangfenlei 单向分类
danxiangguanxishu 单相关系数
danxiangjuzhen 单项矩阵
danxiangliantong 单向连通
danxiangqun 单项群
danxiangshi 单项式
danxiangxingshi 单项形式
danxiangyangtiao 单项样条
danxiangyinzi 单项因子
danxing 单形
danxingbiao 单形表
danxingchengshu 单形乘数
danxingdingli 单形定理
danxingdui 单形对
danxingduihe 单行对合
danxingfa 单形法
danxingqumian 单行曲面
danxingtu 单行图
danxingyingshe 单形映射
danxingyingshezhu 单形映射柱
danxingzhuimian 单形锥面
danxunhuanxi 单循环系
danyasuo 单压缩
danyan 单演
danyanhanshu 单演函数
danyangben 单样本
danyangbenfa 单样本法
danyehanshu 单叶函数
danyequmian 单叶曲面
danyeshuangqumian 单叶双曲面
danyeyingshe 单叶映射
danyeyu 单叶域
danyifenbuweishi 单一分布位势
danyitongtai 单一同态
danyinzifa 单因子法
danyinghanshu 单应函数
danyoulicu 单有理簇
danyuan 单元
danyuanbanqun 单元半群
danyuandingli 单元定理
danyuanjizhun 单元基准
danzefandepanfangfa 但泽范德潘方法
danzeng 单增
danzhequxian 单折曲线
danzhi 单值
danzhidingli 单值定理
danzhiduiying 单值对应
danzhifenzhi 单值分支
danzhigeshi 单支格式
danzhiguanxi 单值关系
danzhihanshu 单值函数
danzhihua 单值化
danzhihuadian 单值化点
danzhihuadingli 单值化定理
danzhihuafugaimian 单值化覆盖面
danzhihuahanshu 单值化函数
danzhihuakongjian 单值化空间
danzhihualilun 单值化理论
danzhijiexihanshu 单值解析函数
danzhiqun 单值群
danzhixing 单值性
danzhiyingshe 单值映射
danzhiyunsuan 单值运算
danzhouqihanshu 单周期函数
danzi 单子
danzichangjingdu 单字长精度
dangqiejindang 当且仅当
dangruwajifen 当茹瓦积分
dangruwajixiaoji 当茹瓦极小集
daochafen 倒差分
daochashang 倒差商
daochu 导出
daochudaishu 导出代数
daochudanwei 导出单位
daochufangcheng 导出方程
daochuhanzi 导出函子
daochulie 导出列
daochushangtongdiao 导出上同调
daochushu 导出数
daochutongtai 导出同态
daochutu 导出图
daochuzitu 导出子图
daodajiange 到达间隔
daodashike 到达时刻
daofangcheng 导方程
daogelasifanhan 道格拉斯泛函
daohanshu 导函数
daohanzi 导函子
daohao 导号
daolu 道路
daolujuzhen 道路矩阵
daolukongjian 道路空间
daoluliantongkongjian 道路连通空间
daoluliantongqu 道路连通区
daoqiefa 刀切法
daosanjiaosuanzi 倒三角算子
daosanjiaoxing 倒三角形
daoshu 导数
daoshuyuweifen 导数与微分
daoshuzhi 倒数纸
daoti 导体
daowang 导网
daoyimengtekaluofangfa 倒易蒙特卡罗方法
daozidaishu 导子代数
debaijianjinbiaoshi 德拜渐近表示
debaijianjinzhankai 德拜渐近展开
debuluyintu 德布鲁因图
delamushangtongtiaoqun 德拉姆上同调群
demogendaishu 德摩根代数
demogenhengdengshi 德摩根恒等式
desagedingli 德萨格定理
dengbijishu 等比级数
dengbishulie 等比数列
dengbianhuayingshe 等变化映射
dengbiansanjiaoxing 等边三角形
dengbianzhuimian 等边锥面
dengcanchaoqumian 等参超曲面
dengchajishu 等差级数
dengchashulie 等差数列
dengdaifuwuxitong 等待服务系统
dengdaishijian 等待时间
dengdaixitong 等待系统
dengdaizhixitong 等待制系统
dengdujianjinwendingxing 等度渐近稳定性
dengdulianxu 等度连续
dengdulianxuhanshu 等度连续函数
dengdulianxuji 等度连续集
dengfenbiaochi 等分标尺
dengfudejifen 邓福德积分
denggailvjiashe 等概率假设
denggaoxian 等高线
denggongezhijing 等共轭直径
denghanliang 等含量
denghao 等号
denghaotixi 等号体系
dengjihanshu 等级函数
dengjixiangguan 等级相关
dengjia 等价
dengjiabiaozhunxing 等价标准形
dengjiabubianliang 等价不变量
dengjiadian 等价点
dengjiaduliang 等价度量
dengjiaduixiang 等价对象
dengjiafanchou 等价范畴
dengjiafanshu 等价范数
dengjiafangcheng 等价方程
dengjiafuhao 等价符号
dengjiaguanxi 等价关系
dengjiahanshu 等价函数
dengjiajihe 等价集合
dengjiajuzhen 等价矩阵
dengjialei 等价类
dengjialinyuxi 等价邻域系
dengjiamingti 等价命题
dengjianiujie 等价纽结
dengjiasuijiguocheng 等价随机过程
dengjiataishe 等价态射
dengjiawenti 等价问题
dengjiawuqiongxiao 等价无穷小
dengjiaxianweicong 等价纤维丛
dengjiaxiang 等价项
dengjiaxingshi 等价形式
dengjiazhen 等价阵
dengjiazhuangtai 等价状态
dengjiaobianhuan 等角变换
dengjiaoduojiaoxing 等角多角形
dengjiaofangshebianhuan 等角仿射变换
dengjiaogongexian 等角共轭线
dengjiaoguixian 等角轨线
dengjiaoguixianzu 等角轨线族
dengjiaoyingshe 等角映射
dengju 等距
dengjukongjian 等距空间
dengjuqianru 等距嵌入
dengjuqumian 等距曲面
dengjuquxian 等距曲线
dengjusuanzi 等距算子
dengjutonggou 等距同构
dengjutu 等距图
dengjuxingshi 等距形式
dengjuyingshe 等距映射
dengjuyuan 等距圆
dengkentu 邓肯图
dengqingxian 等倾线
dengshi 等势
dengshi 等式
dengshiji 等势集
dengshiquxian 等时曲线
dengshixian 等势线
dengshiyueshu 等式约束
dengweimian 等位面
dengweixian 等位线
dengwencanshu 等温参数
dengwenqumian 等温曲面
dengwenquxianxi 等温曲线系
dengwenxian 等温线
dengwenzuobiao 等温坐标
dengyamian 等压面
dengyamiantu 等压面图
dengyaosanjiaoxing 等腰三角形
dengyaotixing 等腰梯形
dengyaozhijiaosanjiaoxing 等腰直角三角形
dengyu 等于
dengzhimingti 等值命题
dengzhixian 等值线
dengzhoubudengshi 等周不等式
dengzhoucanshu 等周参数
dengzhoushuangquxian 等轴双曲线
dengzhouwenti 等周问题
dengzhouxing 等周形
dibi 低比
dicedu 低测度
diceduyuanli 低测度原理
dichangshu 低常数
dieduoneihanglieshi 迪厄多内行列式
dierbijiaojianyan 第二比较检验
dierbianfen 第二变分
dierfanchou 第二范畴
dierfanchouji 第二范畴集
dierfenliang 第二分量
dierjibenxing 第二基本型
dierjibenxingshi 第二基本形式
dierjifenfa 第二积分法
dierjixiandingli 第二极限定理
dierkeshugongli 第二可数公理
dierleibeisaierhanshu 第二类贝塞耳函数
dierleibeisaierhanshu 第二类贝塞尔函数
dierleibulianxudian 第二类不连续点
dierleichaojihehanshu 第二类超几何函数
dierleidianfanzuobiao 第二类典范坐标
dierleihankeerhanshu 第二类汉克尔函数
dierleilameihanshu 第二类拉梅函数
dierleilerangdehanshu 第二类勒让德函数
dierleimadiehanshu 第二类马蒂厄函数
dierleituoyuanhanshu 第二类椭圆函数
dierleituoyuanjifen 第二类椭圆积分
dierleiwanquanshu 第二类完全数
dierleiwucha 第二类误差
dierxiangxianjiao 第二象限角
dieryinzi 第二因子
dierzhangai 第二障碍
dierzhongzhidingli 第二中值定理
difenge 低分割
difenxi 低分析
difengtai 低峰态
difengtaifenbu 低峰态分布
difuhefuwu 低负荷服务
digongedian 低共轭点
digui 递归
diguibiantu 递归边图
diguibukejiexing 递归不可解性
diguidengjiaxing 递归等价性
diguidingli 递归定理
diguiduice 递归对策
diguifangcheng 递归方程
diguifenxi 递归分析
diguiguanxi 递归关系
diguihanshu 递归函数
diguiji 递归集
diguijiegou 递归结构
diguikegonglihua 递归可公理化
diguikemeijuji 递归可枚举集
diguikeshuji 递归可数集
diguililun 递归理论
diguilun 递归论
diguishijian 递归事件
diguishijian 递归时间
diguishulun 递归数论
diguisuanfa 递归算法
diguisuanshu 递归算术
diguixing 递归性
diguixulie 递归序列
diguixushu 递归序数
dihanshu 低函数
dihanzi 底函子
dijifen 低积分
dijishu 低级数
dijiancixu 递减次序
dijianguina 递减归纳
dijianhanshu 递减函数
dijianmijishu 递减幂级数
dijiao 底角
dijiejuece 递阶决策
dijiekongzhi 递阶控制
dijiewuqiongxiao 低阶无穷小
dikaerfangcheng 笛卡儿方程
dikaerji 笛卡儿积
dikaerkongjian 笛卡儿空间
dikaerluanxingxian 笛卡儿卵形线
dikaertu 笛卡尔图
dikaerzhengfuhaoguize 笛卡儿正负号规则
dikaerzuobiao 笛卡尔座标
dikaerzuobiaoxi 笛卡儿坐标系
dikongjian 底空间
dilakecedu 狄拉克测度
dilakefangcheng 狄拉克方程
dilakeguangyihanshu 狄拉克广义函数
dilakehanshu 狄垃克函数
dilakejifen 狄拉克积分
dilikelei 狄利克雷
dilikeleibianjietiaojian 狄利克雷边界条件
dilikeleichengfa 狄利克雷乘法
dilikeleichengji 狄利克雷乘积
dilikeleidingli 狄利克雷定理
dilikeleifanhan 狄利克雷泛函
dilikeleifenbu 狄利克雷分布
dilikeleihanshu 狄利克雷函数
dilikeleihe 狄利克雷核
dilikeleijifen 狄利克雷积分
dilikeleijishu 狄利克雷级数
dilikeleikongjian 狄利克雷空间
dilikeleimidu 狄利克雷密度
dilikeleitiaojian 狄利克雷条件
dilikeleiwenti 狄利克雷问题
dilikeleixing 狄利克雷型
dilikeleiyu 狄利克雷域
dilikeleiyuanli 狄利克雷原理
dimian 底面
dimofugongshi 棣莫弗公式
dinidaoshu 迪尼导数
dinijishu 迪尼级数
dinixiadaoshu 狄尼下导数
dipanbiaoxing 迪潘标形
dipianshang 第偏商
dipingjun 低平均
diqiuti 地球体
diquxian 低曲线
disanbianjietiaojian 第三边界条件
disanbianjiezhiwenti 第三边界值问题
disanjibenxingshi 第三基本形式
disanleibeisaierhanshu 第三类贝塞耳函数
disanleibeisaierhanshu 第三类贝塞尔函数
disanleituoyuanhanshu 第三类椭圆函数
disanleituoyuanjifen 第三类椭圆积分
disanleiwucha 第三类误差
disantonggoudingli 第三同构定理
disanxiangxianjiao 第三象限角
disanzhangai 第三障碍
dishengxulie 递升序列
dishu 底数
disibilixiang 第四比例项
disixiangxianjiao 第四象限角
disongchi 低松弛
disuo 蒂索
disuobohamoweifenfangcheng 蒂索波哈默微分方程
ditu 底图
ditutouying 地图投影
dituzhuosewenti 地图着色问题
dituigongshi 递推公式
dituiguanxi 递推关系
dituopukongjian 底拓扑空间
diwei 低位
diwugongshe 第五公设
dixiang 第项
dixing 低性
diyichabielei 第一差别类
diyichaoqiongxushu 第一超穷序数
diyifanchou 第一范畴
diyifanchouji 第一范畴集
diyijibenxing 第一基本型
diyijibenxingshi 第一基本形式
diyijifen 第一积分
diyijifenfa 第一积分法
diyikeshugongli 第一可数公理
diyikeshuxinggongli 第一可数性公理
diyilei 第一类
diyileibeisaierhanshu 第一类贝塞尔函数
diyileibulianxudian 第一类不连续点
diyileicuowu 第一类错误
diyileidianfanzuobiao 第一类典范坐标
diyileihankeerhanshu 第一类汉克尔函数
diyileijiandian 第一类尖点
diyileilameihanshu 第一类拉梅函数
diyileilerangdehanshu 第一类勒让德函数
diyileimadiehanshu 第一类马蒂厄函数
diyileinianhe 第一类粘合
diyileituoyuanhanshu 第一类椭圆函数
diyileituoyuanjifen 第一类椭圆积分
diyileiwoertailajifenfangcheng 第一类沃尔泰拉积分方程
diyileiwucha 第一类误差
diyipingjunzhidingli 第一平均值定理
diyixiangxian 第一象限
diyixiangxianjiao 第一象限角
diyizhangailei 第一障碍类
diyizhangliangxingshi 第一张量形式
diyizhongfanchangjifen 第一种反常积分
diyizhongweifenxingshi 第一种微分形式
diyizhongzhidingli 第一中值定理
diyingshe 低映射
diyundong 低运动
dizengchaoxianxulie 递增超限序列
dizengjishu 递增级数
dizhi 地址
dizhibufen 地址部分
dizhijishuqi 地址计数器
dianbaofangcheng 电报方程
diancedu 点测度
dianchang 点场
dianchuanditu 点传递图
dianci 电磁
diandulishu 点独立数
dianduicheng 点对称
dianfanceng 典范层
dianfanchengji 典范乘积
dianfanchuzi 典范除子
dianfanchuzilei 典范除子类
dianfancong 典范丛
dianfanfuzhi 典范赋值
dianfanji 典范基
dianfanjuzhen 典范矩阵
dianfanqianru 典范嵌入
dianfanshi 典范式
dianfantaishe 典范态射
dianfanyinzifenjie 典范因子分解
dianfangcheng 点方程
dianfugai 点覆盖
dianfugaishu 点覆盖数
diangeji 点割集
dianguji 点估计
diangujihequjianguji 点估计和区间估计
dianguocheng 点过程
dianhanshu 点函数
dianhe 电荷
dianhuafen 点划分
dianji 点集
dianjituopuxue 点集拓扑学
dianlixiang 点理想
dianliantongdu 点连通度
dianlie 点列
dianlieduihe 点列对合
dianou 点偶
dianpu 点谱
dianqiu 点球
dianqun 点群
dianshishouliantuopu 点式收敛拓扑
diantaibulianxuxing 点态不连续性
diantaidanshe 点态单射
diantailianxuhanshu 点态连续函数
diantailianxuxing 点态连续性
diantaishoulian 点态收敛
diantaishoulianjixian 点态收敛极限
diantaishoulianxulie 点态收敛序列
diantaishoulianzu 点态收敛族
diantaisongchi 点态松弛
diantubiao 点图表
dianxieshi 点斜式
dianxingaiermiteneiji 典型埃尔米特内积
dianxingbianliang 典型变量
dianxingbiaoshi 典型表示
dianxingdiaocha 典型调查
dianxingfangcheng 典型方程
dianxingfenbu 典型分布
dianxingfenjie 典型分解
dianxingfudanlidaishu 典型复单李代数
dianxingguocheng 典型过程
dianxingjijuzhen 典型基矩阵
dianxinglidaishu 典型李代数
dianxingpingjun 典型平均
dianxingqun 典型群
dianxingshidanlidaishu 典型实单李代数
dianxingshuangquxianxi 典型双曲线系
dianxingsongchifenjie 典型松弛分解
dianxingxiangguanfenxi 典型相关分析
dianxingxiangguanxishu 典型相关系数
dianxingyu 典型域
dianxulie 点序列
dianyouxianfugai 点有限覆盖
dianyuan 点圆
dianzhenchangshu 点阵常数
dianzhenhanshu 点阵函数
dianzhenjuzhen 点阵矩阵
dianzhiliang 点质量
dianzhuangtu 点状图
dianzixue 电子学
diedai 迭代
diedaibu 迭代步
diedaichazhifa 迭代插值法
diedaichouyangfangfa 迭代抽样方法
diedaifa 迭代法
diedaijisuan 迭代计算
diedaijixian 迭代极限
diedaituantu 迭代团图
diedaixulie 迭代序列
diedaixunhuan 迭代循环
dieduishu 叠对数
dieduishudinglv 迭对数定律
diehanshu 叠函数
diehedian 叠合点
diehegongli 叠合公理
dieheshu 叠合数
diejishu 叠级数
diejia 叠加
diejiayuanli 叠加原理
dieshicunchusuanfa 叠式存储算法
dingbifendian 定比分点
dingbuchang 定步长
dingchangdiedai 定常迭代
dingchangxitong 定常系统
dingchangxiang 定常相
dingdian 顶点
dingdian 定点
dingdianchuanditu 顶点传递图
dingdiancishu 顶点次数
dingdianduichen 顶点对称
dingdianji 顶点集
dingdianjisuan 定点计算
dingdianshu 定点数
dingdianyunsuan 定点运算
dingdianzitu 顶点子图
dingechouyang 定额抽样
dingercixing 定二次型
dingfasan 定发散
dingfuqumian 定幅曲面
dinghuo 定货
dingjifen 定积分
dingjiao 顶角
dingjiewenti 定阶问题
dingkuoquxian 定阔曲线
dingli 定理
dingliang 定量
dingliangfenxi 定量分析
dingliangguance 定量观测
dinglvzhejiufa 定率折旧法
dingqingquxian 定倾曲线
dingshiduice 定时对策
dingtai 定态
dingtaixuedingefangcheng 定态薛定谔方程
dingweiwenti 定位问题
dingxiang 定向
dingxiangbaoqiang 定向胞腔
dingxiangdanxing 定向单形
dingxianglei 定向类
dingxiangliuxing 定向流形
dingxiangnizhen 定向拟阵
dingxiangtu 定向图
dingxingfenxi 定性分析
dingxingguancha 定性观察
dingxinglilun 定性理论
dingyi 定义
dingyiduibi 定义对比
dingyifangcheng 定义方程
dingyiguanxi 定义关系
dingyiqujian 定义区间
dingyiyu 定义域
dingzhi 定值
diufantubijin 丢番图逼近
diufantufangcheng 丢番图方程
diufantufangchengzu 丢番图方程组
diufantufenxi 丢番图分析
diufantuguanxi 丢番图关系
diufantujihe 丢番图几何
dongli 动力
donglixitong 动力系统
donglixue 动力学
donglixuefangcheng 动力学方程
dongliang 动量
dongliangju 动量矩
dongliangshouheng 动量守恒
dongliangsuanzi 动量算子
dongneng 动能
dongtaibianshu 动态变数
dongtaibuchangqi 动态补偿器
dongtaicunchuqi 动态存储器
dongtaiguihua 动态规划
dongtaiguihuasuanfa 动态规划算法
dongtaishulie 动态数列
dongtaizuiyouhua 动态最优化
doudian 逗点
douliushijian 逗留时间
duameierfa 杜阿梅尔法
duchutou 读出头
dufute 杜福特
duguibianhuan 度规变换
duguibubianxing 度规不变性
duguihanshu 度规函数
duli 独立
dulibianji 独立边集
dulichouyang 独立抽样
dulidingdianji 独立顶点集
dulifangcheng 独立方程
duligongli 独立公理
duliji 独立集
dulijianyan 独立检验
dulipiandu 独立偏度
dulishijian 独立事件
dulishiyan 独立试验
dulishu 独立数
dulitongfenbu 独立同分布
dulixi 独立系
dulixinyuan 独立信源
dulixing 独立性
dulixingjianyan 独立性检验
duliyangben 独立样本
dulizengliangguocheng 独立增量过程
duliang 度量
duliangdanwei 度量单位
duliangge 度量格
dulianghua 度量化
duliangkedixing 度量可递性
duliangkongjian 度量空间
dulianglianluo 度量联络
duliangmidu 度量密度
duliangtu 度量凸
duliangtuziji 度量凸子集
duliangtuopu 度量拓扑
duliangxishu 度量系数
duliangxianxingkongjian 度量线性空间
duliangxingshi 度量形式
duliangzikongjian 度量子空间
dushuwucha 读数误差
duanchufa 短除法
duandian 断点
duandian 端点
duandiandingli 端点定理
duandianzhiling 断点指令
duandinghao 断定号
duanfangxiang 端方向
duanfuxuanlunxian 短辐旋轮线
duanjiedian 端结点
duanshexian 端射线
duansuozhangliang 短缩张量
duanzhou 短轴
duibian 对边
duibiandian 对边点
duice 对策
duicelun 对策论
duicelunmoxing 对策论模型
duicemoni 对策模拟
duicemoxing 对策模型
duiceshu 对策树
duiceyuansu 对策元素
duichen 对称
duichenbianhuan 对称变换
duichenbohanshu 对称波函数
duichenbufen 对称部分
duichencha 对称差
duichenchafen 对称差分
duichenchayunsuan 对称差运算
duichenchouyangfangfa 对称抽样方法
duichendaishu 对称代数
duichendian 对称点
duichendu 对称度
duichenduice 对称对策
duichenduochongxianxingyingshe 对称多重线性映射
duichenduoxiangshi 对称多项式
duichenfenbu 对称分布
duichenge 对称格
duichenguanxi 对称关系
duichenhanshu 对称函数
duichenhanglieshi 对称行列式
duichenhe 对称核
duichenhua 对称化
duichenhuasuanzi 对称化算子
duichenhuazi 对称化子
duichenjulihanshu 对称距离函数
duichenjuzhen 对称矩阵
duichenkongjian 对称空间
duichenlianxuqun 对称连续群
duichenlinyu 对称邻域
duichenmaerkefuguocheng 对称马尔可夫过程
duichenmian 对称面
duichenqumian 对称曲面
duichenquzusheji 对称区组设计
duichenqun 对称群
duichenshuangqu 对称双曲
duichenshuangxianxingfanhan 对称双线性泛函
duichenshuangxianxingxing 对称双线性型
duichenshuangxianxingxingshi 对称双线性形式
duichensuanzi 对称算子
duichentu 对称图
duichentuxing 对称图形
duichenxing 对称性
duichenxingqun 对称性群
duichenyuanli 对称原理
duichenyunsuan 对称运算
duichenzhangliang 对称张量
duichenzhongxin 对称中心
duichenzhou 对称轴
duiding 对顶
duidingjiao 对顶角
duidingzhui 对顶锥
duifen 对分
duifenbufangfa 对分布方法
duifenfa 对分法
duifensousuo 对分搜索
duihe 对合
duihedaishu 对合代数
duihedingli 对合定理
duiheduishebianhuan 对合对射变换
duihefanzitonggou 对合反自同构
duihehuan 对合环
duihejuzhen 对合矩阵
duihexi 对合系
duihuan 对换
duihuanjuzhen 对换矩阵
duijiao 对角
duijiaohua 对角化
duijiaohuafangfa 对角化方法
duijiaojuzhen 对角矩阵
duijiaoshe 对角射
duijiaotaishe 对角态射
duijiaoxian 对角线
duijiaoxianfa 对角线法
duijiaoxianfangfa 对角线方法
duijiaoxianhanzi 对角线函子
duijiaoxianhua 对角线化
duijiaoxing 对角型
duijiaoxulie 对角序列
duijiaoyingshe 对角映射
duijiaoyoushi 对角优势
duijiaoyuansu 对角元素
duijiaozhanyoujuzhen 对角占优矩阵
duijiaozhen 对角阵
duijingdian 对径点
duileishulun 堆垒数论
duili 对立
duilijiashe 对立假设
duilishijian 对立事件
duiliechangdu 队列长度
duilieliang 队列量
duiou 对偶
duiouabeiercu 对偶阿贝耳簇
duiouabeiercu 对偶阿贝尔簇
duioubanqun 对偶半群
duioubaoqiang 对偶胞腔
duioubianliang 对偶变量
duioubianshufangfa 对偶变数方法
duioubiaoshi 对偶表示
duioucong 对偶丛
duioudaishu 对偶代数
duioudanchunxingfa 对偶单纯形法
duioudanxingfa 对偶单形法
duiouditu 对偶地图
duioudingli 对偶定理
duiouduixiang 对偶对象
duioufanchou 对偶范畴
duioufuxing 对偶复形
duiouge 对偶格
duiougongshi 对偶公式
duiouguanxi 对偶关系
duiouguihua 对偶规划
duiouhanzi 对偶函子
duiouhuaceng 对偶化层
duiouji 对偶基
duioujianxi 对偶间隙
duioujie 对偶解
duioukongjian 对偶空间
duioulilun 对偶理论
duioulixiang 对偶理想
duioulianfuxing 对偶链复形
duioumingti 对偶命题
duioumo 对偶模
duioupaiduixitong 对偶排队系统
duiouquxian 对偶曲线
duiouquzusheji 对偶区组设计
duiousheyingpingmian 对偶射影平面
duioushi 对偶式
duioushu 对偶数
duiousuanzi 对偶算子
duioutonggou 对偶同构
duioutongtai 对偶同态
duioutongyuan 对偶同源
duioutouying 对偶投影
duioutu 对偶图
duioutuxing 对偶图形
duiouwenti 对偶问题
duiouxitong 对偶系统
duiouxianxingguihua 对偶线性规划
duiouxiangliang 对偶向量
duiouxiangliangkongjian 对偶向量空间
duiouxing 对偶性
duiouxingshi 对偶形式
duiouyingshe 对偶映射
duiouyuanli 对偶原理
duiouyuanze 对偶原则
duiouyueshu 对偶约束
duiouyunsuan 对偶运算
duiouzhui 对偶锥
duishebianhuan 对射变换
duishu 对数
duishubiao 对数表
duishucanshu 对数残数
duishuchidu 对数尺度
duishudaoshu 对数导数
duishufangcheng 对数方程
duishufenbu 对数分布
duishufenqidian 对数分歧点
duishuhanshu 对数函数
duishuhe 对数核
duishujifen 对数积分
duishujishu 对数级数
duishuluoxian 对数螺线
duishuqidian 对数奇点
duishuquxian 对数曲线
duishurongliang 对数容量
duishushuaijian 对数衰减
duishusousuo 对数搜索
duishutuxing 对数凸性
duishuweishi 对数位势
duishuzhengtaifenbu 对数正态分布
duishuzuobiao 对数座标
duixiang 对象
duixiangbianshu 对象变数
duixiangyuyan 对象语言
duiyiguanxi 对易关系
duiying 对应
duiyingdian 对应点
duiyingdian 对映点
duiyingdingdian 对应顶点
duiyingfaze 对应法则
duiyingfenxi 对应分析
duiyingguanxi 对应关系
duiyingji 对映集
duiyinglianfenshi 对应连分式
duiyingwenti 对应问题
duiyingyingshe 对映映射
duiyingyuanze 对应原则
duizhansuanfa 堆栈算法
duizhang 队长
duizhao 对照
duizhaofenxi 对照分析
dunjiao 钝角
dunjiaosanjiaoxing 钝角三角形
duobianliangxitong 多变量系统
duobianquxian 多变曲线
duobianxing 多边形
duobufa 多步法
duobufangfa 多步方法
duocanshuguocheng 多参数过程
duocengfangfa 多层方法
duocenggeshi 多层格式
duocenghua 多层化
duochongbijiao 多重比较
duochongchaotu 多重超图
duochongchiduwenti 多重尺度问题
duochongcitiaohehanshu 多重次调和函数
duochongdabafa 多重打靶法
duochongdandiaolie 多重单凋列
duochongdifangcheng 多重低方程
duochongdihanshu 多重低函数
duochongdian 多重点
duochongfuliyejishu 多重傅里叶级数
duochonggen 多重根
duochonggongxianxing 多重共线性
duochonghu 多重弧
duochonghuigui 多重回归
duochongjifen 多重积分
duochongjishu 多重级数
duochongjixianhuan 多重极限环
duochongjianyan 多重检验
duochongkeqianqun 多重可迁群
duochongleng 多重棱
duochongmaerkefuguocheng 多重马尔可夫过程
duochongmijishu 多重幂级数
duochongmotaifenbu 多重模态分布
duochongpaidui 多重排队
duochongqiexian 多重切线
duochongshiliang 多重矢量
duochongshuzhijifen 多重数值积分
duochongtezheng 多重特征
duochongtiaohehanshu 多重调和函数
duochongtu 多重图
duochongwangge 多重网格
duochongwanggefa 多重网格法
duochongxianxing 多重线性
duochongxianxingdaishu 多重线性代数
duochongxianxingfanhan 多重线性泛函
duochongxianxinghanshu 多重线性函数
duochongxianxingsuanzi 多重线性算子
duochongxianxingxing 多重线性型
duochongxianxingxingshi 多重线性形式
duochongxianxingyingshe 多重线性映射
duochongxiangguan 多重相关
duochongxiangguanxishu 多重相关系数
duochongxulie 多重序列
duochongzhouqihanshu 多重周期函数
duocichoujian 多次抽检
duodizhi 多地址
duodianpadebijin 多点帕德逼近
duofengfenbu 多峰分布
duofubianhanshu 多复变函数
duohanshu 多函数
duojichengxuchuli 多级程序处理
duojichouyang 多级抽样
duojichouyangfa 多级抽样法
duojijueceguocheng 多级决策过程
duojikongzhi 多级控制
duojixitong 多级系统
duojiaoji 多角集
duojiaoshu 多角数
duojiaoxing 多角形
duojiaoxingwang 多角形网
duojiaoxingyu 多角形域
duojieduanduice 多阶段对策
duojieduanguihua 多阶段规划
duojieduanjueceguocheng 多阶段决策过程
duojieruxindao 多接入信道
duokuang 多狂
duoliantong 多连通
duoliantongkongjian 多连通空间
duoliantongquyu 多连通区域
duoliantongxulie 多连通序列
duoluxindao 多路信道
duominuowenti 多米诺问题
duomianfuxing 多面复形
duomianji 多面集
duomianjiao 多面角
duomianti 多面体
duomiantiduice 多面体对策
duomiantigongshi 多面体公式
duomiantimian 多面体面
duomiantiqun 多面体群
duomiantiyu 多面体域
duomubiaofeixianxingguihua 多目标非线性规划
duomubiaofenshiguihua 多目标分式规划
duomubiaoguihua 多目标规划
duomubiaojuece 多目标决策
duomubiaotuguihua 多目标凸规划
duomubiaoxianxingguihua 多目标线性规划
duomubiaozuiyouhua 多目标最优化
duoqunmengtekaluofangfa 多群蒙特卡罗方法
duorenduice 多人对策
duoshiyuanhanshu 多实元函数
duotaifuwuxitong 多台服务系统
duotiwenti 多体问题
duoweifukongjian 多维复空间
duoweijifen 多维积分
duoweikongjian 多维空间
duoweishu 多位数
duoweixitong 多维系统
duoxiangchouyangfa 多相抽样法
duoxiangfenbu 多项分布
duoxiangjishu 多项级数
duoxiangshi 多项式
duoxiangshibijin 多项式逼近
duoxiangshibiaoshi 多项式表示
duoxiangshidingli 多项式定理
duoxiangshiduice 多项式对策
duoxiangshiduomianti 多项式多面体
duoxiangshifangcheng 多项式方程
duoxiangshigaluowaqun 多项式伽罗瓦群
duoxiangshihuan 多项式环
duoxiangshihuigui 多项式回归
duoxiangshijiasu 多项式加速
duoxiangshijie 多项式解
duoxiangshijinsi 多项式近似
duoxiangshijuzhen 多项式矩阵
duoxiangshijuzhenxitong 多项式矩阵系统
duoxiangshima 多项式码
duoxiangshimoxing 多项式模型
